# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	28435
#@/user_id	516707f7-e92f-42e4-8734-b63a89fcc6a2
a 	啊	c=182 d=3.99624 t=28384
pai shui 	排水	c=23 d=1 t=23646
pai xu 	排序	c=3 d=2.98012 t=14717
pai yan 	排烟	c=38 d=1 t=27418
pai yan kou 	排烟口	c=2 d=1 t=16033
pai yan liang 	排烟量	c=1 d=1 t=14673
pai zi 	牌子	c=1 d=1 t=13582
pan 	潘	c=3 d=1 t=19839
pan 	盘	c=1 d=1 t=20479
pan duan 	判断	c=1 d=1 t=16011
pan guan 	盘管	c=28 d=4.38479 t=24570
pang 	胖	c=1 d=1 t=13432
pang bian 	旁边	c=2 d=1 t=25646
pang tong 	旁通	c=2 d=1.96561 t=21535
pao 	炮	c=4 d=2.29548 t=14109
pao 	跑	c=11 d=1 t=27563
pao bu 	跑步	c=1 d=1 t=25861
pao chi 	泡池	c=1 d=1 t=1011
pao lu 	跑路	c=2 d=1 t=17465
pao mo 	泡沫	c=1 d=1 t=8383
pao qi 	抛弃	c=1 d=1 t=23091
pei 	配	c=2 d=1 t=17203
pei dian 	配电	c=1 d=1 t=21509
pei dian shi 	配电室	c=1 d=1 t=16203
pei dian xiang 	配电箱	c=1 d=1 t=22877
pei fu 	赔付	c=1 d=1 t=24486
pei he 	配合	c=25 d=1.002 t=28147
pei jian 	配件	c=1 d=1 t=23444
pei qian 	赔钱	c=1 d=1 t=12560
pei tao 	配套	c=76 d=1.19275 t=25690
pei yang 	培养	c=1 d=1 t=13557
pen 	喷	c=2 d=1 t=26218
pen 	盆	c=2 d=1.05366 t=21959
pen lin 	喷淋	c=19 d=1 t=27748
pen quan 	喷泉	c=2 d=1.7788 t=10176
pen sa 	喷洒	c=2 d=1 t=19773
pen shui 	喷水	c=7 d=2.9459 t=27741
pen tou 	喷头	c=23 d=2.571 t=28032
pen yao 	喷药	c=1 d=1 t=24047
peng 	朋	c=2 d=1 t=20409
peng 	鹏	c=1 d=1 t=15331
peng gen 	捧哏	c=1 d=1 t=27706
peng you 	朋友	c=3 d=1.00012 t=16174
pi 	批	c=2 d=1 t=22044
pi ban 	批办	c=1 d=1 t=11446
pi ci 	批次	c=1 d=1 t=6464
pi fu 	皮肤	c=2 d=1.90937 t=16328
pi ping 	批评	c=4 d=1 t=25219
pi qi 	脾气	c=1 d=1 t=28015
pi shi 	皮实	c=1 d=1 t=13570
pian 	偏	c=3 d=1.94385 t=18179
pian 	片	c=4 d=1.65051 t=25184
pian 	骗	c=1 d=1 t=8401
pian yi 	便宜	c=7 d=1.00038 t=25149
piao 	票	c=1 d=1 t=10744
pie 	撇	c=1 d=1 t=16514
pin 	品	c=1 d=1 t=13393
pin kong 	品控	c=1 d=1 t=4269
pin lei 	品类	c=1 d=1 t=20704
pin lv 	频率	c=1 d=1 t=4332
pin pai 	品牌	c=14 d=1.0131 t=25285
pin zhi 	品质	c=3 d=1 t=22463
pin zhong 	品种	c=5 d=1.00274 t=15035
ping 	凭	c=1 d=1 t=9261
ping 	屏	c=2 d=1.81058 t=6458
ping 	平	c=4 d=1.07351 t=11357
ping 	瓶	c=5 d=2.91683 t=24059
ping bi 	屏蔽	c=1 d=1 t=2320
ping feng 	屏风	c=3 d=2.7232 t=13814
ping gu 	评估	c=3 d=1.09301 t=15731
ping guo 	苹果	c=3 d=1 t=26948
ping guo xi 	苹果系	c=1 d=1 t=23090
ping heng 	平衡	c=1 d=1 t=21552
ping jun 	平均	c=4 d=1 t=14256
ping jun ri 	平均日	c=1 d=1 t=8853
ping mian 	平面	c=6 d=1 t=25280
ping mian tu 	平面图	c=1 d=1 t=15575
ping mu 	屏幕	c=4 d=1 t=28295
ping qi 	平齐	c=1 d=1 t=13772
ping shi 	平时	c=4 d=1.00057 t=26841
ping tai 	平台	c=6 d=1 t=26771
ping xia 	屏下	c=1 d=1 t=6461
po 	破	c=2 d=1 t=17647
po huai 	破坏	c=2 d=1 t=23341
po sun 	破损	c=1 d=1 t=20546
pou mian 	剖面	c=1 d=1 t=9504
pu 	普	c=1 d=1 t=21767
pu 	铺	c=2 d=1.33454 t=1068
pu bian 	普遍	c=1 d=1 t=13456
pu tong 	普通	c=1 d=1 t=22323
pu zi 	铺子	c=1 d=1 t=9435
qi 	器	c=8 d=1.10489 t=22961
qi 	期	c=2 d=1 t=13466
qi 	气	c=3 d=1 t=27698
qi 	祈	c=1 d=1 t=22154
qi 	起	c=5 d=1 t=20369
qi bi 	启闭	c=1 d=1 t=27130
qi che 	汽车	c=2 d=1 t=23443
qi che 	骑车	c=2 d=1.95123 t=26148
qi chuang 	起床	c=1 d=1 t=28095
qi dong 	启动	c=20 d=1.85642 t=27174
qi fei 	起飞	c=1 d=1 t=2373
qi guai 	奇怪	c=1 d=1 t=24976
qi hou 	气候	c=1 d=1 t=20746
qi lai 	起来	c=14 d=1.01713 t=28247
qi ma 	起码	c=4 d=1 t=24001
qi mie 	气灭	c=1 d=1 t=26758
qi mo 	气膜	c=1 d=1 t=23340
qi shi 	其实	c=10 d=1 t=26836
qi shi 	骑士	c=2 d=1.97531 t=6621
qi ta 	其他	c=25 d=1.07075 t=28394
qi ti 	气体	c=1 d=1 t=11643
qi ti 	砌体	c=1 d=1 t=14564
qi ting 	启停	c=2 d=1 t=4414
qi xiang 	气象	c=1 d=1 t=24318
qi ye 	企业	c=3 d=1.00458 t=24645
qi yi 	歧义	c=2 d=1 t=19900
qi yong 	启用	c=2 d=1 t=15054
qi zhong 	其中	c=4 d=1 t=14747
qi zi 	起子	c=1 d=1 t=26089
qia shang 	洽商	c=17 d=1.02945 t=26817
qian 	倩	c=1 d=1 t=18686
qian 	前	c=11 d=1 t=24428
qian 	欠	c=1 d=1 t=20648
qian 	浅	c=1 d=1 t=19918
qian 	签	c=5 d=1.00315 t=22481
qian 	钱	c=8 d=1 t=25664
qian dang feng 	前挡风	c=1 d=1 t=15687
qian lie xian 	前列腺	c=1 d=1 t=14926
qian mian 	前面	c=6 d=1 t=26873
qian nian 	前年	c=1 d=1 t=14227
qian qian 	倩倩	c=3 d=1.00303 t=20016
qian ru shi 	嵌入式	c=1 d=1 t=24863
qian shui 	潜水	c=1 d=1 t=15011
qian tao 	嵌套	c=1 d=1 t=1197
qian ting 	前厅	c=1 d=1 t=4305
qian tou 	牵头	c=1 d=1 t=5213
qian wan 	签完	c=1 d=1 t=24220
qian zhui 	前缀	c=1 d=1 t=1191
qian zi 	签字	c=11 d=1.37531 t=28399
qiang 	墙	c=7 d=1.42416 t=27614
qiang 	强	c=3 d=1.08543 t=13881
qiang dian 	强电	c=1 d=1 t=7931
qiang du 	强度	c=3 d=1.00023 t=14692
qiang hua 	强化	c=1 d=1 t=17498
qiang mian 	墙面	c=2 d=1 t=15481
qiang ruo 	强弱	c=1 d=1 t=10276
qiang ruo dian 	强弱电	c=1 d=1 t=9949
qiang ti 	墙体	c=2 d=1 t=27626
qiang zhi 	强制	c=5 d=3.88275 t=7073
qiao 	敲	c=0 d=0.1 t=17030
qiao 	桥	c=1 d=1 t=14064
qiao 	瞧	c=1 d=1 t=8583
qiao jia 	桥架	c=1 d=1 t=7932
qiao yi bian 	敲一遍	c=1 d=1 t=17031
qie 	且	c=1 d=1 t=4281
qie 	切	c=4 d=1.94649 t=26940
qie diao 	切掉	c=1 d=1 t=14818
qie duan 	切断	c=1 d=1 t=23555
qie hong su 	茄红素	c=1 d=1 t=19351
qie pian 	切片	c=1 d=1 t=14814
qie zhong 	切中	c=1 d=1 t=27962
qin 	秦	c=7 d=1 t=25994
qin gang 	秦刚	c=1 d=1 t=13195
qin huang dao 	秦皇岛	c=4 d=1.00001 t=13238
qin shu 	亲属	c=1 d=1 t=21858
qin zi 	亲子	c=1 d=1 t=22567
qing 	庆	c=1 d=1 t=6078
qing 	清	c=1 d=1 t=9451
qing 	请	c=37 d=1.26218 t=28084
qing 	青	c=1 d=1 t=9041
qing chu 	清楚	c=12 d=1 t=28106
qing dan 	清单	c=3 d=1 t=21795
qing dao 	青岛	c=1 d=1 t=11818
qing hua 	清华	c=2 d=1 t=14197
qing hua fu 	清华附	c=1 d=1 t=14207
qing jia 	请假	c=5 d=1.00004 t=24204
qing jiao 	请教	c=1 d=1 t=24985
qing jie 	情节	c=1 d=1 t=16819
qing jie 	清洁	c=2 d=1 t=11664
qing kuang 	情况	c=18 d=1.00742 t=27552
qing qi 	氢气	c=1 d=1 t=27514
qing shi 	请示	c=2 d=1.00844 t=10638
qing shui 	清水	c=1 d=1 t=19745
qing wen 	请问	c=4 d=1 t=12806
qing xi 	清晰	c=2 d=1 t=19612
qing xi 	清洗	c=1 d=1 t=6965
qing xing 	清醒	c=1 d=1 t=28096
qing xu 	情绪	c=3 d=1.00039 t=13329
qiu 	求	c=2 d=1 t=16355
qiu 	秋	c=2 d=1.99005 t=15544
qiu ku 	秋裤	c=1 d=1 t=14446
qu 	区	c=15 d=1 t=27183
qu 	去	c=82 d=1.43136 t=28243
qu 	取	c=2 d=1 t=12838
qu bie 	区别	c=4 d=1 t=23816
qu chong 	驱虫	c=1 d=1 t=21375
qu dao 	渠道	c=1 d=1 t=1462
qu diao 	去掉	c=1 d=1 t=4914
qu fen 	区分	c=5 d=1 t=18818
qu feng 	取风	c=1 d=1 t=20075
qu guo 	去过	c=1 d=1 t=15965
qu nian 	去年	c=3 d=1.88692 t=25997
qu shi 	趋势	c=1 d=1 t=14261
qu xian 	曲线	c=4 d=1.97045 t=19742
qu xiao 	取消	c=25 d=1.49376 t=27630
qu yu 	区域	c=3 d=1 t=20513
quan 	全	c=17 d=2.08531 t=25234
quan 	劝	c=1 d=1 t=16562
quan 	圈	c=3 d=1.00009 t=7468
quan ben 	全本	c=1 d=1 t=4439
quan bu 	全部	c=3 d=1.92774 t=4094
quan hui 	全会	c=1 d=1 t=26097
quan lou 	全楼	c=2 d=1 t=10915
quan mian 	全面	c=1 d=1 t=4265
quan min 	全民	c=1 d=1 t=11633
quan qiu 	全球	c=1 d=1 t=316
quan shi jie 	全世界	c=1 d=1 t=5255
quan xian 	权限	c=1 d=1 t=22006
que 	缺	c=2 d=1 t=27118
que bao 	确保	c=1 d=1 t=5195
que ding 	确定	c=21 d=1 t=27012
que ren 	确认	c=27 d=1.00013 t=27539
que shi 	确实	c=4 d=1 t=20272
que zhen 	确诊	c=1 d=1 t=16110
qun 	群	c=11 d=1 t=23261
qun fang 	裙房	c=1 d=1 t=1964
qun hui 	群晖	c=1 d=1 t=9031
qun kong 	群控	c=6 d=2.01074 t=26980
qun li 	群里	c=1 d=1 t=7614
ran hou 	然后	c=17 d=1.00001 t=27369
ran qi 	燃气	c=57 d=1.00004 t=27858
rang 	让	c=41 d=1.55964 t=28428
rang qiu 	让球	c=1 d=1 t=19480
rao 	绕	c=1 d=1 t=23036
re 	热	c=12 d=1.23397 t=24744
re ban 	热板	c=0 d=0.1 t=17792
re beng 	热泵	c=7 d=1.51685 t=21885
re cheng xiang 	热成像	c=2 d=1 t=19541
re chu 	热厨	c=1 d=1 t=16658
re fu he 	热负荷	c=1 d=1 t=1028
re hu hu 	热乎乎	c=1 d=1 t=15698
re hui shou 	热回收	c=5 d=2.63916 t=22929
re li 	热力	c=50 d=1 t=27175
re li zhan 	热力站	c=3 d=1 t=25857
re mei 	热媒	c=2 d=1.85214 t=2716
re qi 	热气	c=1 d=1 t=9238
re shui 	热水	c=4 d=1.17291 t=21518
re shui guan 	热水管	c=1 d=1 t=9088
re shui qi 	热水器	c=1 d=1 t=20344
re yuan 	热源	c=2 d=1 t=15055
ren 	人	c=35 d=1.00446 t=26776
ren 	任	c=28 d=1.04783 t=28418
ren 	认	c=2 d=1 t=11897
ren duo 	人多	c=1 d=1 t=17069
ren he 	任何	c=2 d=1.00007 t=23774
ren jia 	人家	c=2 d=1 t=21930
ren ke 	认可	c=1 d=1 t=21778
ren min bi 	人民币	c=1 d=1 t=309
ren pin 	人品	c=1 d=1 t=9262
ren qing 	人情	c=1 d=1 t=8643
ren qing shi gu 	人情世故	c=1 d=1 t=5257
ren sheng 	人生	c=1 d=1 t=24875
ren shi 	认识	c=1 d=1 t=132
ren shi jian 	人世间	c=1 d=1 t=5123
ren song 	认怂	c=1 d=1 t=3736
ren wei 	认为	c=2 d=1 t=16764
ren wu 	任务	c=5 d=1 t=23584
ren xin bu zu 	人心不足	c=1 d=1 t=13295
ren yuan 	人员	c=12 d=1.00003 t=27411
ren yuan 	荏原	c=1 d=1 t=5966
ren zheng 	认证	c=15 d=1 t=27879
ri 	日	c=12 d=1.00139 t=26015
ri ben 	日本	c=7 d=1 t=27916
ri chang 	日常	c=1 d=1 t=13258
ri li 	日历	c=2 d=1.00189 t=13109
ri qi 	日期	c=4 d=1 t=23945
rong ji 	容积	c=1 d=1 t=622
rong ji shi 	容积式	c=1 d=1 t=17799
rong liang 	容量	c=5 d=1.00459 t=19436
rong xu 	容许	c=3 d=1.6942 t=13345
rong ye 	溶液	c=2 d=1.74826 t=2777
rong yi 	容易	c=9 d=1.00001 t=26150
rou 	肉	c=2 d=1.99501 t=27806
rou jiao 	揉脚	c=1 d=1 t=21346
rou xing 	柔性	c=1 d=1 t=7125
ru 	入	c=3 d=1 t=18344
ru 	如	c=9 d=1 t=25274
ru guo 	如果	c=10 d=1.00002 t=24543
ru he 	如何	c=20 d=1.00191 t=26122
ru jing 	入境	c=1 d=1 t=15166
ru kou 	入口	c=9 d=1.96039 t=24593
ru wei 	入围	c=1 d=1 t=23169
ru xia 	如下	c=8 d=1 t=23732
ru yuan 	入院	c=1 d=1 t=9821
ruan hua 	软化	c=2 d=1.82696 t=19275
ruan jian 	软件	c=9 d=1.00335 t=24383
ruan jie 	软接	c=3 d=1 t=16383
rui 	蕊	c=1 d=1 t=9662
rui xing 	瑞幸	c=2 d=1.93707 t=9066
run hua 	润滑	c=1 d=1 t=27716
ruo dian 	弱电	c=12 d=1 t=27978
sa la 	萨拉	c=0 d=0.1 t=7086
sai 	赛	c=1 d=1 t=26116
sai dao 	赛道	c=1 d=1 t=23560
sai er da 	塞尔达	c=6 d=1.00232 t=23032
sai qian 	赛前	c=1 d=1 t=7692
sai xia 	塞下	c=1 d=1 t=16716
san 	三	c=6 d=1 t=23580
san ba huo 	三把火	c=1 d=1 t=11749
san bu qu 	三部曲	c=1 d=1 t=27869
san da 	三大	c=1 d=1 t=24876
san ge 	三个	c=2 d=1 t=24970
san guan 	三观	c=1 d=1 t=15111
san huan 	三环	c=1 d=1 t=8657
san ling 	三菱	c=2 d=1.72979 t=15808
san nian 	三年	c=1 d=1 t=11766
san pai 	散排	c=4 d=1.94649 t=19833
san qi si qie 	三妻四妾	c=1 d=1 t=13663
san re 	散热	c=2 d=1.00007 t=2823
san re qi 	散热器	c=6 d=1 t=26915
san shi nian 	三十年	c=2 d=1.99005 t=8479
san ti 	三体	c=7 d=1.01625 t=8183
san tian 	三天	c=1 d=1 t=19596
san tong 	三通	c=1 d=1 t=9656
san yuan 	三院	c=3 d=1 t=15404
sang zi 	嗓子	c=1 d=1 t=13254
sao 	嫂	c=1 d=1 t=18035
sao yi sao 	扫一扫	c=1 d=1 t=19835
se 	色	c=2 d=1 t=20267
se se 	色色	c=1 d=1 t=27114
se se fa dou 	瑟瑟发抖	c=2 d=1.99501 t=8532
sen 	森	c=1 d=1 t=3912
sen lin 	森林	c=1 d=1 t=24819
sen lin da di 	森林大帝	c=1 d=1 t=24818
sha 	啥	c=38 d=1.02403 t=28100
sha 	杀	c=1 d=1 t=24250
sha fa 	沙发	c=1 d=1 t=27959
sha ji gei hou kan 	杀鸡给猴看	c=1 d=1 t=13194
sha lu 	杀戮	c=1 d=1 t=27863
shai 	晒	c=2 d=1 t=14158
shan 	删	c=4 d=1 t=28188
shan chu 	删除	c=7 d=1 t=25275
shan dai 	善待	c=1 d=1 t=21967
shang 	上	c=137 d=2.5014 t=27212
shang ban 	上班	c=7 d=1 t=25190
shang chang 	商场	c=1 d=1 t=13470
shang chuan 	上传	c=7 d=4.85939 t=26769
shang ci 	上次	c=5 d=1.00002 t=23955
shang de 	上的	c=1 d=1 t=21520
shang fang 	上方	c=4 d=1.98511 t=22342
shang hai 	上海	c=2 d=1.31822 t=22539
shang hu 	商户	c=1 d=1 t=12177
shang hui 	上会	c=2 d=1 t=27312
shang ke 	上课	c=2 d=1 t=26558
shang lai 	上来	c=3 d=1.00249 t=9561
shang liang 	商量	c=7 d=1.25142 t=27305
shang men 	上门	c=2 d=1 t=14538
shang mian 	上面	c=13 d=1.00002 t=28070
shang pu 	商铺	c=8 d=1.45206 t=15387
shang qu 	上去	c=2 d=1 t=20391
shang ren 	上任	c=1 d=1 t=11748
shang sheng 	上升	c=1 d=1 t=12494
shang shu 	上述	c=2 d=1 t=10284
shang shui 	上水	c=1 d=1 t=10406
shang tao 	商讨	c=1 d=1 t=26062
shang wei 	尚未	c=1 d=1 t=5824
shang wu 	上午	c=27 d=3.6836 t=26322
shang wu 	商务	c=4 d=1 t=28119
shang xia 	上下	c=2 d=1.42741 t=1661
shang xia shui 	上下水	c=1 d=1 t=1479
shang xian 	上线	c=1 d=1 t=2063
shang ye 	商业	c=31 d=1.05238 t=27745
shang yi 	上衣	c=1 d=1 t=14436
shang yin 	上瘾	c=1 d=1 t=18575
shang zhi 	上肢	c=1 d=1 t=1942
shang zhou 	上周	c=20 d=1.02599 t=23195
shao 	少	c=8 d=1.08086 t=25135
shao 	烧	c=1 d=1 t=13327
shao deng 	稍等	c=1 d=1 t=4041
shao hou 	稍候	c=1 d=1 t=18499
shao jian 	少见	c=1 d=1 t=24615
shao nian 	少年	c=1 d=1 t=24802
shao wei 	稍微	c=1 d=1 t=2036
she 	社	c=2 d=1 t=24516
she 	设	c=12 d=1.89583 t=27769
she bao 	社保	c=1 d=1 t=27452
she bei 	设备	c=52 d=1.08237 t=26689
she cheng 	射程	c=2 d=1.96561 t=14039
she de 	舍得	c=1 d=1 t=17213
she ding 	设定	c=3 d=1.98511 t=18779
she hua 	奢华	c=1 d=1 t=17570
she ji 	涉及	c=12 d=1.00203 t=28126
she ji 	设计	c=224 d=2.73299 t=28232
she ji bu 	设计部	c=13 d=1 t=23618
she ji fang 	设计方	c=2 d=1 t=23830
she ji fei 	设计费	c=2 d=1.8825 t=25474
she ji ren 	设计人	c=2 d=1.92774 t=23868
she ji shi gong 	设计施工	c=1 d=1 t=13000
she ji yuan 	设计院	c=25 d=1.04456 t=28165
she jiao 	社交	c=1 d=1 t=22759
she ru 	摄入	c=1 d=1 t=22527
she shi du 	摄氏度	c=1 d=1 t=20785
she shui 	射水	c=1 d=1 t=14111
she tun xiang 	蛇吞象	c=1 d=1 t=13296
she xiang tou 	摄像头	c=1 d=1 t=13216
she you 	设有	c=1 d=1 t=4335
she zhi 	设置	c=24 d=1.00574 t=28159
shen 	审	c=2 d=1 t=26647
shen 	深	c=3 d=1 t=19916
shen 	申	c=7 d=1.99517 t=25060
shen bao 	申报	c=2 d=1.93239 t=25403
shen cha 	审查	c=2 d=1 t=26032
shen du 	深度	c=1 d=1 t=7772
shen he 	审核	c=37 d=1.00502 t=28156
shen hua 	深化	c=31 d=1.71934 t=25870
shen ji 	审计	c=1 d=1 t=16878
shen jian 	神剑	c=1 d=1 t=8498
shen me 	什么	c=103 d=1.16141 t=28370
shen me yang 	什么样	c=1 d=1 t=16935
shen pi 	审批	c=2 d=1 t=22320
shen qi 	神奇	c=1 d=1 t=18207
shen qing 	申请	c=1 d=1 t=22127
shen suo 	伸缩	c=3 d=1 t=18281
shen ti 	身体	c=7 d=1 t=21368
shen ti ru 	身体乳	c=1 d=1 t=16341
shen tu 	审图	c=9 d=1 t=19979
shen wan san 	沈万三	c=1 d=1 t=24248
shen yang 	沈阳	c=1 d=1 t=9282
shen yue 	审阅	c=2 d=1 t=19710
shen zhen 	深圳	c=1 d=1 t=17950
sheng 	升	c=2 d=1.00023 t=11771
sheng 	声	c=2 d=1 t=26182
sheng 	生	c=3 d=1 t=21815
sheng 	省	c=2 d=1 t=7338
sheng 	胜	c=1 d=1 t=26240
sheng bing 	生病	c=5 d=1 t=22157
sheng chan 	生产	c=3 d=1.43605 t=12601
sheng cheng 	生成	c=2 d=1.85642 t=18183
sheng guan 	升官	c=2 d=1.956 t=11753
sheng huo 	生活	c=2 d=1 t=16312
sheng ji 	升级	c=2 d=1 t=14379
sheng ren 	圣人	c=1 d=1 t=27466
sheng ri 	生日	c=1 d=1 t=14917
sheng shi 	省事	c=1 d=1 t=28213
sheng tai 	生态	c=3 d=2.85156 t=12559
sheng xia 	剩下	c=4 d=1.71744 t=26450
sheng xue 	声学	c=9 d=3.28963 t=25855
sheng yin 	声音	c=4 d=3.29658 t=28356
sheng zai 	胜在	c=1 d=1 t=25148
sheng zha 	声闸	c=1 d=1 t=18949
sheng zhi 	升值	c=1 d=1 t=14172
sheng zhi 	升职	c=1 d=1 t=14964
shi 	世	c=6 d=1.00002 t=24850
shi 	事	c=45 d=1.95128 t=28249
shi 	士	c=4 d=2.88589 t=21759
shi 	室	c=6 d=2.59864 t=15638
shi 	师	c=1 d=1 t=12057
shi 	式	c=2 d=1 t=26461
shi 	时	c=1 d=1 t=4391
shi 	是	c=368 d=4.20021 t=28353
shi 	石	c=19 d=1.99501 t=24930
shi 	试	c=1 d=1 t=23600
shi ba 	是吧	c=2 d=1 t=20153
shi bu shi 	时不时	c=1 d=1 t=24022
shi bu shi 	是不是	c=15 d=1.07682 t=22903
shi ce 	实测	c=1 d=1 t=27645
shi chang 	市场	c=1 d=1 t=12462
shi chen 	时辰	c=2 d=1.02802 t=20005
shi da fu 	士大夫	c=1 d=1 t=7094
shi dai 	时代	c=1 d=1 t=5125
shi de 	似的	c=2 d=1 t=17296
shi de 	是的	c=1 d=1 t=9461
shi di 	师弟	c=1 d=1 t=427
shi du 	湿度	c=1 d=1 t=5612
shi er 	十二	c=2 d=1.02802 t=20004
shi fan 	示范	c=1 d=1 t=25432
shi fou 	是否	c=20 d=1.00001 t=28153
shi fu 	师傅	c=1 d=1 t=26340
shi gong 	施工	c=61 d=4.04625 t=28170
shi gong 	石工	c=2 d=1 t=9845
shi gong tu 	施工图	c=4 d=1.00823 t=23532
shi gu 	事故	c=6 d=2.7688 t=16613
shi he 	适合	c=2 d=1.00193 t=18176
shi hou 	时候	c=61 d=2.06893 t=28379
shi huo 	是火	c=1 d=1 t=18055
shi ji 	实际	c=12 d=1.02678 t=26373
shi jian 	时间	c=41 d=1.00174 t=24903
shi jie 	世界	c=1 d=1 t=1125
shi jue 	视觉	c=1 d=1 t=2435
shi li 	视力	c=1 d=1 t=1939
shi liang 	矢量	c=1 d=1 t=17628
shi liu jin zhi 	十六进制	c=1 d=1 t=12844
shi mian 	饰面	c=1 d=1 t=27397
shi nei 	室内	c=1 d=1 t=21175
shi pin 	视频	c=10 d=1.45442 t=25604
shi shi 	湿式	c=1 d=1 t=26885
shi shi 	试试	c=7 d=1 t=24891
shi shui 	试水	c=1 d=1 t=781
shi ti 	实体	c=1 d=1 t=13471
shi wai 	室外	c=32 d=3.70147 t=27744
shi wai ji 	室外机	c=6 d=2.73438 t=21266
shi wen 	室温	c=1 d=1 t=20784
shi xian 	实现	c=3 d=1 t=24664
shi xiang 	事项	c=3 d=1 t=13178
shi xiong 	世雄	c=0 d=0.1 t=10005
shi yan 	试验	c=1 d=1 t=6570
shi yao jian 	食药监	c=2 d=1 t=10048
shi yi 	十一	c=1 d=1 t=11500
shi yi 	示意	c=5 d=1.00989 t=22365
shi yong 	使用	c=11 d=1 t=20778
shi yong 	适用	c=2 d=1.83527 t=18126
shi zai 	实在	c=2 d=1 t=26584
shi zheng 	市政	c=12 d=1.00118 t=18291
shi zhi 	市值	c=2 d=1.00007 t=19004
shou 	守	c=3 d=1 t=22229
shou 	手	c=1 d=1 t=5638
shou 	收	c=8 d=1.01553 t=24781
shou 	瘦	c=1 d=1 t=14844
shou 	首	c=1 d=1 t=21988
shou bian 	收边	c=1 d=1 t=2957
shou bing 	手柄	c=7 d=4.75189 t=18644
shou bu liao 	受不了	c=1 d=1 t=18059
shou ce 	手册	c=1 d=1 t=14839
shou ceng 	首层	c=1 d=1 t=15954
shou dao 	收到	c=55 d=1.44024 t=28276
shou dong 	手动	c=3 d=1 t=6803
shou fei 	收费	c=1 d=1 t=28104
shou ge 	收割	c=1 d=1 t=12612
shou huo 	收货	c=1 d=1 t=12106
shou ji 	手机	c=17 d=1.0406 t=27767
shou ji hao 	手机号	c=4 d=1.87954 t=18106
shou jia 	守加	c=1 d=1 t=22476
shou jian 	收件	c=1 d=1 t=6498
shou ku 	受苦	c=1 d=1 t=19569
shou pen 	手盆	c=2 d=1 t=27930
shou ru 	收入	c=1 d=1 t=23406
shou shang 	受伤	c=1 d=1 t=21670
shou shi 	手势	c=2 d=1.8311 t=6517
shou shi 	收拾	c=1 d=1 t=6549
shou shu 	手术	c=2 d=1.94649 t=13526
shou shu shi 	手术室	c=1 d=1 t=24263
shou shui 	收税	c=1 d=1 t=23697
shou tou 	手头	c=2 d=1.67368 t=17869
shou xu 	手续	c=1 d=1 t=13095
shou xuan 	首选	c=1 d=1 t=25131
shou you 	手游	c=1 d=1 t=17471
shu 	书	c=13 d=1 t=21593
shu 	数	c=1 d=1 t=27855
shu 	熟	c=1 d=1 t=21064
shu bao 	书包	c=1 d=1 t=14323
shu chu 	输出	c=2 d=1 t=11760
shu jing 	竖井	c=8 d=1 t=27527
shu ju 	数据	c=11 d=1 t=25810
shu li 	梳理	c=7 d=1 t=27840
shu liang 	数量	c=5 d=1 t=25295
shu ru fa 	输入法	c=2 d=1.98511 t=26957
shu shi 	舒适	c=1 d=1 t=20810
shu shi xing 	舒适性	c=1 d=1 t=24266
shu xue 	数学	c=3 d=1.96079 t=8426
shu yu 	属于	c=3 d=1.00831 t=27667
shu zi 	数字	c=1 d=1 t=6513
shu zu 	数组	c=6 d=1.9802 t=22101
shua 	刷	c=1 d=1 t=15004
shua 	耍	c=1 d=1 t=22807
shua lai 	耍赖	c=1 d=1 t=22697
shua liu mang 	耍流氓	c=1 d=1 t=11610
shuai 	甩	c=4 d=1 t=14340
shuai guo 	甩锅	c=2 d=1 t=16513
shuai jian 	衰减	c=1 d=1 t=15822
shuang 	双	c=4 d=1 t=27144
shuang ceng 	双层	c=5 d=3.2571 t=3215
shui 	水	c=41 d=1.00013 t=28263
shui 	睡	c=1 d=1 t=15707
shui 	谁	c=28 d=1.06614 t=28431
shui beng 	水泵	c=16 d=2.96245 t=21745
shui dian 	水电	c=4 d=1 t=19838
shui guan 	水管	c=5 d=1.93707 t=24625
shui jiao 	睡觉	c=1 d=1 t=12721
shui jing 	水景	c=4 d=1 t=15299
shui liang 	水量	c=1 d=1 t=27934
shui pao 	水炮	c=19 d=1.00008 t=20157
shui ping 	水平	c=4 d=1.00184 t=27515
shui qu 	水区	c=1 d=1 t=14995
shui tong 	水桶	c=1 d=1 t=27943
shui xi 	水洗	c=1 d=1 t=19527
shui xiang 	水箱	c=2 d=1.20701 t=1333
shui xing 	睡醒	c=2 d=1 t=22726
shui yin 	水印	c=1 d=1 t=6974
shun 	顺	c=1 d=1 t=27700
shun bian 	顺便	c=1 d=1 t=26891
shun feng 	顺丰	c=1 d=1 t=24844
shun jian 	瞬间	c=1 d=1 t=18057
shun li 	顺利	c=1 d=1 t=5197
shun qi 	顺气	c=1 d=1 t=25661
shun xu 	顺序	c=2 d=1 t=25785
shuo 	说	c=164 d=3.94059 t=28420
shuo cuo 	说错	c=2 d=1.10807 t=18930
shuo de 	说得	c=1 d=1 t=22168
shuo de 	说的	c=3 d=1.00001 t=13684
shuo guo 	说过	c=1 d=1 t=25988
